day,location_id,avg_temp_c,max_temp_c,total_precip_mm,avg_windspeed_kmh,hours_observed
2026-02-03,1,-5.633333333333334,-2.1,0.2,13.266666666666667,24
2026-02-04,1,-10.587500000000002,-4.4,0.0,7.9958333333333345,24
2026-02-05,1,-8.899999999999999,-4.5,0.0,11.066666666666668,24
2026-02-06,1,-5.808333333333333,-2.8,2.0,17.51666666666667,24
2026-02-07,1,-17.791666666666668,-14.1,0.0,15.424999999999999,24
2026-02-08,1,-18.05,-12.4,0.0,9.066666666666666,24
2026-02-09,1,-12.795833333333334,-6.4,0.0,5.983333333333333,24
2026-02-10,1,-2.0875,1.3,4.6,8.437500000000002,24
2026-02-11,1,-1.2875,0.6,0.0,17.091666666666665,24
2026-02-12,1,-6.770833333333332,-2.6,0.1,11.258333333333335,24
2026-02-13,1,-6.433333333333333,-1.1,0.8999999999999999,11.233333333333334,24
2026-02-14,1,-0.6125000000000002,2.2,0.0,5.845833333333334,24
2026-02-15,1,-1.1666666666666665,0.5,0.0,11.616666666666665,24
2026-02-16,1,-1.3374999999999997,1.1,0.30000000000000004,6.241666666666666,24
2026-02-17,1,2.970833333333333,6.1,0.0,7.445833333333333,24
2026-02-18,1,-0.4083333333333334,0.8,13.0,20.891666666666662,24
2026-02-19,1,-1.1083333333333332,0.5,0.0,20.39166666666667,24
2026-02-20,1,1.3499999999999999,2.8,7.499999999999999,25.450000000000003,24
2026-02-21,1,-0.49999999999999994,0.9,2.0000000000000004,14.437500000000002,24
2026-02-22,1,-3.2166666666666672,-1.8,0.30000000000000004,24.641666666666666,24
2026-02-23,1,-3.595833333333333,-0.4,0.0,19.12083333333333,24
2026-06-16,1,16.266666666666666,23.0,0.7,8.9625,24
2026-06-17,1,16.729166666666668,21.5,1.1,10.087499999999999,24
2026-06-18,1,17.099999999999998,21.4,17.7,21.6375,24
2026-06-19,1,18.474999999999998,23.6,0.0,20.291666666666668,24
2026-06-20,1,17.595833333333335,24.2,0.0,12.487499999999997,24
2026-06-21,1,17.283333333333335,23.1,0.0,7.841666666666665,24
2026-06-22,1,15.204166666666664,17.4,4.0,7.7375,24
2026-06-23,1,18.8,25.3,0.0,11.995833333333332,24
2026-06-24,1,18.10833333333333,24.1,0.0,11.708333333333334,24
2026-06-25,1,15.858333333333334,19.8,5.000000000000001,7.770833333333332,24
2026-06-26,1,17.000000000000004,20.6,0.0,7.754166666666667,24
2026-06-27,1,19.937500000000004,23.5,0.0,6.670833333333333,24
2026-06-28,1,20.1,23.0,0.0,8.529166666666667,24
2026-06-29,1,19.900000000000006,24.1,0.0,9.479166666666666,24
2026-08-17,1,22.71666666666667,27.1,0.0,12.129166666666665,24
2026-08-18,1,20.741666666666664,25.6,0.0,11.329166666666666,24
2026-08-19,1,21.3625,26.9,0.0,7.141666666666666,24
2026-08-20,1,18.73333333333333,23.7,0.0,7.670833333333333,24
2026-08-21,1,19.550000000000004,25.5,0.0,8.9375,24
2026-08-22,1,20.3625,24.4,2.5,8.541666666666666,24
2026-08-23,1,17.437499999999996,19.4,10.9,11.591666666666669,24
2026-08-24,1,16.84583333333333,21.2,0.0,15.08333333333333,24
2026-08-25,1,19.14166666666667,23.4,0.0,8.262499999999998,24
2026-08-26,1,19.14583333333333,23.9,0.0,8.558333333333334,24
2026-08-27,1,21.429166666666664,26.7,0.0,11.416666666666666,24
2026-08-28,1,17.833333333333336,21.3,0.0,8.6,24
2026-08-29,1,18.17083333333333,24.8,0.0,8.604166666666666,24
2026-08-30,1,18.970833333333335,21.0,0.7,8.4125,24
2026-08-31,1,18.925,19.6,6.000000000000001,6.741666666666666,24
2026-09-01,1,20.7,23.2,0.0,9.95,24
2026-09-02,1,21.5,24.7,11.5,9.045833333333333,24
2026-09-03,1,22.179166666666664,27.0,0.0,7.204166666666667,24
